"Curso","Ordem de prioridade do curso","Nota da qualificacao anterior","Nota de admissao","Deslocado","Necessidades educacionais especiais","Devedor","Genero","Bolsista","Idade na inscricao","Internacional","Materias do primeiro semestre aprovadas","Media das notas do primeiro semestre","Resultado"
"Tourism",6,129,117.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12,"Graduado"
"Veterinary Nursing",1,140,140,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",5,14.2,"Graduado"
"Social Service",1,133.1,108,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",6,12.125,"Graduado"
"Basic Education",1,132,122.9,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",7,13.8571428571429,"Graduado"
"Veterinary Nursing",1,130,130,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",3,11.75,"Matriculado"
"Nursing",4,137,126,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",7,14.2833333333333,"Graduado"
"Social Service",1,133.1,134,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",11,13.2727272727273,"Graduado"
"Communication Design",1,143,134.3,"Sim","Sim","Nao","Mulher","Nao",19,"Nao",6,14.6666666666667,"Graduado"
"Nursing",1,148,138.7,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",7,15.115,"Graduado"
"Animation and Multimedia Design",2,137,143.3,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Matriculado"
"Veterinary Nursing",1,160,160,"Sim","Nao","Nao","Mulher","Nao",22,"Nao",6,15,"Graduado"
"Basic Education",2,112,111,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",5,13.2,"Graduado"
"Tourism",4,133,128.5,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",2,11,"Desistente"
"Nursing",4,142,133,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",7,14.5657142857143,"Graduado"
"Advertising and Marketing Management",2,123,114.6,"Sim","Nao","Sim","Mulher","Nao",18,"Nao",3,12,"Desistente"
"Social Service",1,103,104.1,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",0,0,"Desistente"
"Nursing",4,140,127.6,"Sim","Nao","Nao","Mulher","Nao",23,"Nao",6,13.7966666666667,"Graduado"
"Journalism and Communication",2,159,151,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,14.8333333333333,"Graduado"
"Social Service",1,140,135.7,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,12.8333333333333,"Graduado"
"Nursing",1,148,137.8,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,14.9628571428571,"Graduado"
"Management",6,112,117.3,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,12,"Graduado"
"Nursing",2,131,121.2,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.4,"Graduado"
"Advertising and Marketing Management",1,145,129.3,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,15.5714285714286,"Graduado"
"Nursing",5,133.1,123,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",7,13.7142857142857,"Graduado"
"Veterinary Nursing",1,140,140,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",6,13.1428571428571,"Graduado"
"Communication Design",1,140,140,"Nao","Nao","Nao","Mulher","Nao",33,"Nao",6,15,"Graduado"
"Veterinary Nursing",1,150,144.6,"Nao","Nao","Sim","Mulher","Nao",24,"Nao",1,13,"Desistente"
"Social Service",1,120,118.3,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",11,12,"Graduado"
"Animation and Multimedia Design",1,156,153.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Graduado"
"Communication Design",4,167,158.3,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,15.1666666666667,"Graduado"
"Social Service (Noturno)",1,133.1,100,"Nao","Nao","Sim","Mulher","Nao",29,"Nao",4,12,"Desistente"
"Nursing",1,147,134.9,"Nao","Sim","Nao","Mulher","Nao",18,"Nao",7,13.6428571428571,"Graduado"
"Journalism and Communication",3,129,142,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,12.6666666666667,"Graduado"
"Animation and Multimedia Design",1,136,127.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Social Service",1,128,116.5,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",5,10.8,"Graduado"
"Nursing",1,140,138.6,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,14.25,"Graduado"
"Basic Education",1,141,133,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",12,12.1538461538462,"Desistente"
"Social Service",2,133,136.2,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",1,11.5,"Matriculado"
"Tourism",1,125,118,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",4,12.25,"Graduado"
"Communication Design",1,124,126.8,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",6,12,"Matriculado"
"Nursing",6,140,128.5,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",8,13.40375,"Graduado"
"Tourism",1,140,129.9,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,11.3333333333333,"Graduado"
"Journalism and Communication",4,137,125.8,"Nao","Nao","Sim","Homem","Nao",20,"Nao",5,12.2,"Desistente"
"Animation and Multimedia Design",1,144,129.3,"Sim","Nao","Nao","Homem","Sim",18,"Nao",0,0,"Matriculado"
"Nursing",6,138,124.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Agronomy",1,130,154.9,"Nao","Nao","Sim","Homem","Nao",35,"Nao",5,16.1666666666667,"Desistente"
"Informatics Engineering",1,142,127.3,"Nao","Nao","Nao","Homem","Nao",18,"Nao",3,11,"Matriculado"
"Animation and Multimedia Design",1,136,129,"Sim","Nao","Nao","Homem","Sim",19,"Nao",0,0,"Graduado"
"Journalism and Communication",2,133.1,98,"Sim","Nao","Nao","Homem","Sim",19,"Nao",4,12,"Matriculado"
"Management",2,130,122,"Sim","Nao","Nao","Homem","Nao",20,"Nao",2,10.5,"Matriculado"
"Communication Design",1,117,112.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",3,11.6666666666667,"Matriculado"
"Management",3,136,127.3,"Sim","Nao","Nao","Homem","Nao",19,"Nao",3,11,"Desistente"
"Oral Hygiene",2,133.1,100.5,"Nao","Nao","Nao","Homem","Nao",24,"Nao",0,0,"Desistente"
"Social Service (Noturno)",1,140,122,"Sim","Nao","Sim","Homem","Nao",29,"Nao",4,12.5,"Desistente"
"Nursing",1,150,140,"Nao","Nao","Nao","Homem","Nao",24,"Nao",7,11.2944444444444,"Graduado"
"Tourism",2,121,116.1,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.2,"Graduado"
"Animation and Multimedia Design",1,120,130,"Sim","Nao","Nao","Homem","Nao",37,"Nao",0,0,"Desistente"
"Communication Design",2,143,146.2,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,13.2,"Graduado"
"Informatics Engineering",1,180,180,"Nao","Nao","Nao","Homem","Sim",20,"Nao",6,14.1428571428571,"Matriculado"
"Management",5,132,127.8,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Management",1,130,130.8,"Nao","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Matriculado"
"Management",2,133.1,109,"Sim","Nao","Nao","Homem","Sim",22,"Nao",3,12.3333333333333,"Matriculado"
"Journalism and Communication",5,131,132.4,"Sim","Nao","Sim","Homem","Nao",18,"Nao",0,0,"Desistente"
"Nursing",3,149,129.3,"Sim","Nao","Nao","Homem","Nao",18,"Nao",7,13.1,"Graduado"
"Communication Design",1,124,125.4,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13.5,"Graduado"
"Informatics Engineering",1,126,130.2,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,10.2,"Matriculado"
"Social Service",1,140,132,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,11.5714285714286,"Desistente"
"Agronomy",1,170,170,"Sim","Nao","Sim","Homem","Nao",21,"Nao",6,15.2857142857143,"Graduado"
"Journalism and Communication",2,133,130.2,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,12.6,"Matriculado"
"Oral Hygiene",2,126,115.5,"Nao","Nao","Nao","Homem","Nao",18,"Nao",6,13.4333333333333,"Graduado"
"Management",2,129,127.6,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.6,"Desistente"
"Journalism and Communication",1,140,140,"Nao","Nao","Nao","Homem","Nao",25,"Nao",6,14.6666666666667,"Graduado"
"Communication Design",1,130,120.2,"Sim","Nao","Nao","Homem","Nao",22,"Nao",6,14.6666666666667,"Graduado"
"Nursing",1,130,150,"Nao","Nao","Nao","Homem","Nao",24,"Nao",7,12.7428571428571,"Graduado"
"Nursing",2,99,100,"Sim","Nao","Nao","Homem","Nao",19,"Nao",7,11.975,"Graduado"
"Informatics Engineering",1,146,100,"Nao","Nao","Nao","Homem","Nao",18,"Nao",4,12.25,"Matriculado"
"Animation and Multimedia Design",1,129,128,"Nao","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Desistente"
"Nursing",2,132,128,"Sim","Nao","Nao","Homem","Sim",19,"Nao",7,14.9357142857143,"Graduado"
"Tourism",3,110,107.2,"Sim","Nao","Nao","Homem","Nao",19,"Nao",2,10.5,"Desistente"
"Advertising and Marketing Management",1,116,110.1,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,13.3333333333333,"Graduado"
"Agronomy",1,119,119,"Nao","Nao","Sim","Homem","Nao",23,"Nao",0,0,"Desistente"
"Journalism and Communication",1,120,155.5,"Nao","Nao","Nao","Homem","Nao",47,"Nao",5,13.8,"Desistente"
"Communication Design",1,117,118.4,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,11.8333333333333,"Graduado"
"Animation and Multimedia Design",4,137,141.2,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Graduado"
"Animation and Multimedia Design",1,124,119.1,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Management",1,151,111,"Nao","Nao","Nao","Homem","Nao",28,"Nao",2,10,"Desistente"
"Tourism",1,138.6,138.6,"Sim","Nao","Nao","Homem","Nao",20,"Nao",4,11.5,"Desistente"
"Tourism",2,118,121.2,"Nao","Nao","Nao","Homem","Sim",18,"Nao",3,10.6666666666667,"Matriculado"
"Animation and Multimedia Design",1,136,150.4,"Sim","Nao","Nao","Homem","Sim",21,"Nao",0,0,"Graduado"
"Tourism",1,123,117.8,"Nao","Nao","Nao","Homem","Nao",19,"Nao",4,12.75,"Matriculado"
"Tourism",1,133.1,102.5,"Nao","Nao","Sim","Homem","Nao",24,"Nao",0,0,"Desistente"
"Equinculture",1,130,110,"Nao","Nao","Nao","Homem","Nao",24,"Nao",6,11.3333333333333,"Matriculado"
"Veterinary Nursing",1,133.1,138.3,"Sim","Nao","Sim","Homem","Nao",25,"Nao",0,0,"Matriculado"
"Tourism",1,150,122.3,"Nao","Nao","Nao","Homem","Nao",28,"Nao",6,13,"Graduado"
"Management (Noturno)",1,130,127.8,"Nao","Nao","Nao","Homem","Nao",37,"Nao",4,10.75,"Matriculado"
"Informatics Engineering",1,128,100,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,12,"Matriculado"
"Nursing",4,133,126.4,"Sim","Nao","Nao","Homem","Sim",18,"Nao",7,13.4628571428571,"Graduado"
"Tourism",1,133.1,100,"Nao","Nao","Nao","Homem","Nao",48,"Nao",3,10,"Desistente"
"Social Service",4,129,117.1,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,12.3333333333333,"Graduado"
"Nursing",1,128,124.7,"Nao","Nao","Nao","Homem","Sim",19,"Nao",6,12.5285714285714,"Matriculado"
"Nursing",2,136,124.1,"Nao","Nao","Nao","Homem","Sim",21,"Nao",0,0,"Matriculado"
"Informatics Engineering",1,130,129.4,"Sim","Nao","Sim","Homem","Nao",23,"Nao",0,0,"Desistente"
"Equinculture",1,141,138.9,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,13.6,"Graduado"
"Social Service",1,140,138.6,"Nao","Nao","Nao","Homem","Nao",22,"Nao",6,12.3333333333333,"Desistente"
"Animation and Multimedia Design",1,122,133.9,"Sim","Nao","Nao","Homem","Nao",25,"Nao",10,11.4545454545455,"Desistente"
"Veterinary Nursing",1,140,140,"Nao","Nao","Sim","Homem","Nao",27,"Nao",8,13.5,"Desistente"
"Informatics Engineering",1,133.1,95.1,"Nao","Nao","Nao","Homem","Nao",49,"Nao",0,0,"Desistente"
"Management (Noturno)",1,120,128.2,"Nao","Nao","Nao","Homem","Nao",31,"Nao",2,11,"Desistente"
"Tourism",1,133.1,121.5,"Nao","Nao","Nao","Homem","Nao",54,"Nao",6,13.7142857142857,"Desistente"
"Biofuel Production Technologies",1,120,120,"Sim","Nao","Sim","Homem","Nao",25,"Nao",21,12.3636363636364,"Desistente"
"Agronomy",1,130,130,"Nao","Nao","Nao","Homem","Nao",20,"Nao",3,10.6666666666667,"Matriculado"
"Communication Design",1,120,120,"Nao","Nao","Nao","Homem","Nao",28,"Nao",2,12,"Desistente"
"Social Service (Noturno)",1,133.1,107,"Nao","Nao","Nao","Homem","Nao",41,"Nao",7,12.8571428571429,"Graduado"
"Advertising and Marketing Management",2,122,116.1,"Nao","Nao","Nao","Homem","Sim",19,"Nao",6,13.125,"Matriculado"
"Management",1,123,114.4,"Nao","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Desistente"
"Tourism",1,178,157.7,"Nao","Nao","Nao","Homem","Nao",34,"Nao",2,13.5,"Desistente"
"Agronomy",1,130,150,"Nao","Nao","Sim","Homem","Nao",28,"Nao",11,15.0909090909091,"Desistente"
"Basic Education",1,110,114.3,"Sim","Nao","Nao","Homem","Nao",42,"Nao",5,12.4,"Matriculado"
"Veterinary Nursing",1,106,104.6,"Nao","Nao","Nao","Homem","Nao",21,"Nao",5,14,"Matriculado"
"Agronomy",1,140,140,"Nao","Nao","Nao","Homem","Nao",50,"Nao",2,13.5,"Desistente"
"Management",4,108,109.1,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Desistente"
"Nursing",1,120,120.6,"Nao","Nao","Nao","Homem","Nao",18,"Nao",4,12.65,"Desistente"
"Management (Noturno)",1,100,161.9,"Nao","Nao","Nao","Homem","Nao",59,"Nao",0,0,"Desistente"
"Management (Noturno)",1,140,140,"Sim","Nao","Nao","Homem","Nao",33,"Nao",0,0,"Desistente"
"Communication Design",2,133.1,178,"Sim","Nao","Nao","Homem","Sim",23,"Nao",6,13.3333333333333,"Graduado"
"Management (Noturno)",1,133.1,138.3,"Nao","Nao","Nao","Homem","Nao",44,"Nao",3,11.3333333333333,"Desistente"
"Social Service (Noturno)",4,140,128,"Sim","Nao","Nao","Homem","Nao",37,"Nao",0,0,"Desistente"
"Animation and Multimedia Design",1,100,139,"Nao","Nao","Nao","Homem","Nao",36,"Nao",0,0,"Desistente"
"Management (Noturno)",2,123,113.2,"Nao","Nao","Nao","Homem","Nao",22,"Nao",3,11.6666666666667,"Desistente"
"Social Service (Noturno)",1,133.1,139,"Nao","Nao","Nao","Homem","Nao",49,"Nao",6,12.1666666666667,"Graduado"
"Journalism and Communication",1,135,110,"Sim","Nao","Nao","Homem","Nao",23,"Nao",6,13.3333333333333,"Graduado"
"Communication Design",1,132,136.6,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.4,"Matriculado"
"Social Service (Noturno)",1,120,161.1,"Nao","Nao","Nao","Homem","Nao",47,"Nao",6,12.1428571428571,"Desistente"
"Agronomy",1,130,130,"Nao","Nao","Nao","Homem","Nao",28,"Nao",17,13.0588235294118,"Graduado"
"Agronomy",1,140,140,"Nao","Nao","Nao","Homem","Nao",21,"Nao",4,11.75,"Matriculado"
"Tourism",1,133.1,121,"Nao","Nao","Sim","Homem","Nao",21,"Nao",5,11.8333333333333,"Desistente"
"Social Service",1,120,118.6,"Nao","Nao","Nao","Homem","Nao",21,"Nao",10,12.4,"Graduado"
"Communication Design",1,140,138.3,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,13.4285714285714,"Matriculado"
"Management",1,133.1,115.8,"Nao","Nao","Nao","Homem","Nao",49,"Nao",0,0,"Desistente"
"Management (Noturno)",1,120,160,"Nao","Nao","Nao","Homem","Nao",40,"Nao",5,11,"Graduado"
"Tourism",1,125,114.5,"Nao","Nao","Nao","Homem","Sim",22,"Nao",6,13.625,"Graduado"
"Informatics Engineering",1,136,117.5,"Nao","Nao","Nao","Homem","Nao",19,"Nao",4,11.8,"Matriculado"
"Management (Noturno)",1,133.1,121.7,"Nao","Nao","Nao","Homem","Nao",31,"Nao",0,0,"Desistente"
"Informatics Engineering",1,120,115,"Nao","Nao","Nao","Homem","Nao",30,"Nao",2,15,"Desistente"
"Social Service",1,127,125.3,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,10.8,"Graduado"
"Management",1,131,131,"Nao","Nao","Nao","Homem","Nao",22,"Nao",3,13.6666666666667,"Desistente"
"Journalism and Communication",1,127,126.3,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,12.8333333333333,"Graduado"
"Animation and Multimedia Design",1,132,127.1,"Nao","Nao","Nao","Homem","Nao",21,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",3,137,138.4,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,15.125,"Graduado"
"Management",2,126,100,"Sim","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Desistente"
"Social Service",1,136,126.2,"Nao","Nao","Nao","Homem","Nao",22,"Nao",5,11.4,"Graduado"
"Social Service",1,124,118.8,"Nao","Nao","Nao","Homem","Nao",19,"Nao",4,12.25,"Graduado"
"Tourism",1,137,124.5,"Nao","Nao","Nao","Homem","Nao",26,"Nao",0,0,"Desistente"
"Informatics Engineering",1,140,140,"Nao","Nao","Nao","Homem","Nao",23,"Nao",3,14,"Matriculado"
"Communication Design",1,131,125.1,"Nao","Nao","Nao","Homem","Nao",18,"Nao",6,12.3333333333333,"Matriculado"
"Management",1,130,118.8,"Nao","Nao","Sim","Homem","Sim",22,"Nao",5,10.6666666666667,"Matriculado"
"Informatics Engineering",5,136,125.2,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.8333333333333,"Matriculado"
"Management",1,133.1,95,"Nao","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Desistente"
"Communication Design",3,110,107.6,"Sim","Nao","Nao","Homem","Sim",22,"Nao",6,11.6666666666667,"Matriculado"
"Equinculture",1,140,140,"Sim","Nao","Nao","Homem","Nao",18,"Nao",2,13,"Desistente"
"Management (Noturno)",2,133.1,125.4,"Nao","Nao","Nao","Homem","Nao",39,"Nao",0,0,"Desistente"
"Nursing",1,141,128,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Informatics Engineering",3,130,129.3,"Nao","Nao","Nao","Homem","Sim",18,"Nao",5,13,"Graduado"
"Social Service",1,160,152,"Nao","Nao","Nao","Homem","Sim",19,"Nao",6,13.8571428571429,"Graduado"
"Nursing",1,140,128.8,"Nao","Nao","Nao","Homem","Nao",18,"Nao",6,13.3916666666667,"Graduado"
"Management",1,150,152.8,"Sim","Nao","Nao","Homem","Sim",18,"Nao",4,12.75,"Desistente"
"Equinculture",1,150,150,"Sim","Nao","Nao","Homem","Nao",22,"Nao",4,14.5,"Graduado"
"Social Service",1,133.1,112,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,12.1666666666667,"Graduado"
"Equinculture",1,152,135.6,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,15.4,"Desistente"
"Informatics Engineering",1,133.1,134.4,"Nao","Nao","Sim","Homem","Nao",31,"Nao",2,13.3333333333333,"Desistente"
"Management (Noturno)",1,130,120.5,"Nao","Nao","Nao","Homem","Nao",28,"Nao",0,0,"Desistente"
"Communication Design",1,148,141.4,"Nao","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Desistente"
"Tourism",1,148,145.2,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,13.7142857142857,"Graduado"
"Social Service",1,130,140,"Nao","Nao","Nao","Homem","Nao",50,"Nao",4,12.25,"Desistente"
"Communication Design",1,160,100,"Nao","Nao","Nao","Homem","Nao",38,"Nao",5,16,"Matriculado"
"Management (Noturno)",1,130,140,"Sim","Nao","Nao","Homem","Nao",31,"Nao",1,11,"Desistente"
"Nursing",1,110,126,"Sim","Nao","Nao","Homem","Nao",27,"Nao",7,14.0857142857143,"Matriculado"
"Social Service",1,122,112.6,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,10.1666666666667,"Graduado"
"Informatics Engineering",1,110,106.8,"Nao","Nao","Nao","Homem","Nao",34,"Nao",1,10,"Desistente"
"Informatics Engineering",1,129,121.6,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Matriculado"
"Management (Noturno)",1,110,120,"Sim","Nao","Nao","Homem","Nao",40,"Nao",2,10.5,"Desistente"
"Animation and Multimedia Design",1,170,160.6,"Sim","Nao","Nao","Homem","Sim",18,"Nao",0,0,"Graduado"
"Communication Design",1,110,130,"Nao","Nao","Sim","Homem","Sim",46,"Nao",0,0,"Desistente"
"Social Service (Noturno)",5,110,110,"Nao","Nao","Nao","Homem","Nao",37,"Nao",0,0,"Desistente"
"Agronomy",1,133.1,110,"Sim","Nao","Nao","Homem","Nao",31,"Nao",0,0,"Desistente"
"Agronomy",1,133.1,145.8,"Nao","Nao","Nao","Homem","Nao",34,"Nao",5,13.3333333333333,"Graduado"
"Animation and Multimedia Design",6,126,130.2,"Sim","Nao","Nao","Homem","Sim",18,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,137,122.3,"Nao","Nao","Nao","Homem","Sim",18,"Nao",6,13.5714285714286,"Graduado"
"Communication Design",4,117,125.4,"Sim","Nao","Nao","Homem","Sim",19,"Nao",6,12.8333333333333,"Graduado"
"Management (Noturno)",1,100,130,"Nao","Nao","Nao","Homem","Nao",40,"Nao",4,10.25,"Desistente"
"Equinculture",1,120,150,"Nao","Nao","Nao","Homem","Nao",25,"Nao",0,0,"Desistente"
"Informatics Engineering",5,126,116.9,"Sim","Nao","Sim","Homem","Nao",20,"Nao",4,14.5,"Desistente"
"Informatics Engineering",1,122,114.7,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,15.8,"Matriculado"
"Agronomy",1,111,95.8,"Sim","Nao","Nao","Homem","Nao",43,"Nao",0,0,"Desistente"
"Informatics Engineering",4,139,133.1,"Sim","Nao","Nao","Homem","Nao",18,"Nao",4,12.5,"Matriculado"
"Agronomy",1,150,150,"Nao","Nao","Nao","Homem","Nao",35,"Nao",18,11.6666666666667,"Graduado"
"Management (Noturno)",2,116,118.5,"Nao","Nao","Nao","Homem","Nao",23,"Nao",4,13,"Graduado"
"Nursing",1,130,131.1,"Nao","Nao","Nao","Homem","Nao",19,"Nao",7,12.1214285714286,"Graduado"
"Veterinary Nursing",1,150,150.3,"Sim","Nao","Nao","Homem","Sim",21,"Nao",9,14.2222222222222,"Graduado"
"Advertising and Marketing Management",1,132,120.5,"Nao","Nao","Nao","Homem","Nao",19,"Nao",4,12.5,"Matriculado"
"Informatics Engineering",1,108,105.6,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,12.1666666666667,"Graduado"
"Advertising and Marketing Management",1,133.1,125.3,"Nao","Sim","Nao","Homem","Sim",30,"Nao",0,0,"Desistente"
"Tourism",1,120,131,"Sim","Nao","Nao","Homem","Nao",44,"Nao",6,12.6666666666667,"Graduado"
"Nursing",1,146,127,"Nao","Nao","Nao","Homem","Nao",19,"Nao",7,13.6142857142857,"Graduado"
"Equinculture",1,150,150,"Sim","Nao","Nao","Homem","Nao",22,"Nao",12,12.8571428571429,"Graduado"
"Equinculture",1,160,149.2,"Nao","Nao","Nao","Homem","Nao",18,"Nao",4,14,"Graduado"
"Advertising and Marketing Management",1,125,121.5,"Sim","Nao","Nao","Homem","Sim",21,"Nao",4,14.75,"Graduado"
"Veterinary Nursing",2,125,137.3,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",4,122,119.6,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,13.625,"Graduado"
"Animation and Multimedia Design",1,138,141.5,"Nao","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Graduado"
"Agronomy",1,150,150,"Sim","Nao","Nao","Homem","Nao",21,"Nao",4,11.8,"Desistente"
"Agronomy",1,140,110,"Nao","Nao","Nao","Homem","Nao",31,"Nao",6,15.125,"Graduado"
"Tourism",5,113,110.2,"Sim","Nao","Nao","Homem","Nao",21,"Nao",4,11.5,"Desistente"
"Informatics Engineering",1,139,110.3,"Nao","Nao","Sim","Homem","Nao",24,"Nao",1,10,"Matriculado"
"Journalism and Communication",1,133.1,120,"Nao","Nao","Nao","Homem","Nao",27,"Nao",0,0,"Desistente"
"Management",5,118,114.2,"Sim","Nao","Nao","Homem","Nao",20,"Nao",3,10.3333333333333,"Graduado"
"Informatics Engineering",1,140,140,"Sim","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Matriculado"
"Agronomy",1,144,132.8,"Nao","Nao","Nao","Homem","Sim",19,"Nao",4,12,"Matriculado"
"Journalism and Communication",1,125,121.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13.8333333333333,"Graduado"
"Animation and Multimedia Design",1,131,127.2,"Sim","Nao","Sim","Homem","Nao",23,"Nao",13,12.1538461538462,"Matriculado"
"Equinculture",1,131,128.2,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,14,"Graduado"
"Journalism and Communication",1,140,133.4,"Sim","Nao","Nao","Homem","Nao",29,"Nao",6,16.5,"Matriculado"
"Equinculture",1,133.1,120,"Sim","Nao","Nao","Homem","Nao",29,"Nao",1,18,"Desistente"
"Agronomy",1,140,140,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,11.2857142857143,"Matriculado"
"Animation and Multimedia Design",5,139,136.9,"Sim","Nao","Nao","Homem","Sim",19,"Nao",0,0,"Graduado"
"Animation and Multimedia Design",3,125,117,"Sim","Sim","Nao","Homem","Nao",22,"Nao",0,0,"Matriculado"
"Advertising and Marketing Management",2,117,110.7,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,14,"Matriculado"
"Equinculture",1,150,160,"Sim","Nao","Nao","Homem","Nao",24,"Nao",4,13.75,"Matriculado"
"Advertising and Marketing Management",1,95,95,"Nao","Nao","Nao","Homem","Nao",21,"Nao",4,13.25,"Desistente"
"Management",1,150,148.8,"Nao","Nao","Nao","Homem","Sim",25,"Nao",4,14.25,"Graduado"
"Management",1,120,110,"Nao","Nao","Nao","Homem","Nao",32,"Nao",0,0,"Desistente"
"Management (Noturno)",1,136,133.9,"Nao","Nao","Nao","Homem","Nao",26,"Nao",8,11.25,"Desistente"
"Equinculture",1,133,125.7,"Sim","Nao","Nao","Homem","Sim",18,"Nao",6,13.5,"Graduado"
"Tourism",1,125,116.6,"Nao","Nao","Nao","Homem","Sim",19,"Nao",5,12.6666666666667,"Graduado"
"Communication Design",3,127,141,"Sim","Nao","Nao","Homem","Sim",19,"Nao",6,15.1666666666667,"Graduado"
"Informatics Engineering",1,130,130,"Nao","Nao","Nao","Homem","Nao",27,"Nao",6,13.1666666666667,"Desistente"
"Agronomy",1,130,130,"Nao","Nao","Sim","Homem","Nao",21,"Nao",10,11.8,"Matriculado"
"Informatics Engineering",1,127,115.8,"Nao","Nao","Nao","Homem","Nao",20,"Nao",4,11.5,"Matriculado"
"Communication Design",1,140,140,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,14.5,"Graduado"
"Journalism and Communication",5,125,126.1,"Sim","Nao","Nao","Homem","Nao",22,"Nao",5,13.4,"Matriculado"
